PNR,HHNR,APER,w
0,0,2,1.57778403722
1,0,2,1.57778403722
2,1,3,0.657862619085
3,1,3,0.657862619085
4,1,3,0.657862619085
5,2,2,0.343598062755
6,2,2,0.343598062755
7,3,3,2.06705170665
8,3,3,2.06705170665
9,3,3,2.06705170665
10,4,1,1.5985186701
11,5,3,1.24661313639
12,5,3,1.24661313639
13,5,3,1.24661313639
14,6,3,0.657862619085
15,6,3,0.657862619085
16,6,3,0.657862619085
17,7,2,0.638463882062
18,7,2,0.638463882062
19,8,3,2.06705170665
20,8,3,2.06705170665
21,8,3,2.06705170665
22,9,2,0.638463882062
23,9,2,0.638463882062
24,10,2,1.57778403722
25,10,2,1.57778403722
26,11,2,1.57778403722
27,11,2,1.57778403722
28,12,1,0.333466208067
29,13,2,3.06056928999
30,13,2,3.06056928999
31,14,1,1.5985186701
32,15,2,0.638463882062
33,15,2,0.638463882062
34,16,1,0.333466208067
35,17,1,2.97032069237
36,18,2,0.343598062755
37,18,2,0.343598062755
38,19,3,1.24661313639
39,19,3,1.24661313639
40,19,3,1.24661313639
41,20,2,0.343598062755
42,20,2,0.343598062755
43,21,3,1.24661313639
44,21,3,1.24661313639
45,21,3,1.24661313639
46,22,2,1.57778403722
47,22,2,1.57778403722
48,23,3,1.11241212224
49,23,3,1.11241212224
50,23,3,1.11241212224
51,24,3,0.670881894347
52,24,3,0.670881894347
53,24,3,0.670881894347
54,25,2,0.343598062755
55,25,2,0.343598062755
56,26,3,0.657862619085
57,26,3,0.657862619085
58,26,3,0.657862619085
59,27,3,0.670881894347
60,27,3,0.670881894347
61,27,3,0.670881894347
62,28,3,0.354037758168
63,28,3,0.354037758168
64,28,3,0.354037758168
65,29,1,0.619637165681
66,30,3,1.24661313639
67,30,3,1.24661313639
68,30,3,1.24661313639
69,31,3,1.24661313639
70,31,3,1.24661313639
71,31,3,1.24661313639
72,32,3,1.24661313639
73,32,3,1.24661313639
74,32,3,1.24661313639
75,33,3,1.11241212224
76,33,3,1.11241212224
77,33,3,1.11241212224
78,34,3,1.24661313639
79,34,3,1.24661313639
80,34,3,1.24661313639
81,35,2,1.57778403722
82,35,2,1.57778403722
83,36,1,0.333466208067
84,37,3,1.24661313639
85,37,3,1.24661313639
86,37,3,1.24661313639
87,38,3,1.11241212224
88,38,3,1.11241212224
89,38,3,1.11241212224
90,39,2,1.57778403722
91,39,2,1.57778403722
92,40,2,0.638463882062
93,40,2,0.638463882062
94,41,2,3.06056928999
95,41,2,3.06056928999
96,42,3,2.06705170665
97,42,3,2.06705170665
98,42,3,2.06705170665
99,43,2,0.638463882062
100,43,2,0.638463882062
101,44,1,0.333466208067
102,45,3,0.354037758168
103,45,3,0.354037758168
104,45,3,0.354037758168
105,46,2,0.849106040083
106,46,2,0.849106040083
107,47,3,0.670881894347
108,47,3,0.670881894347
109,47,3,0.670881894347
110,48,3,0.657862619085
111,48,3,0.657862619085
112,48,3,0.657862619085
113,49,1,0.333466208067
114,50,1,0.619637165681
115,51,3,0.670881894347
116,51,3,0.670881894347
117,51,3,0.670881894347
118,52,2,0.343598062755
119,52,2,0.343598062755
120,53,3,0.657862619085
121,53,3,0.657862619085
122,53,3,0.657862619085
123,54,3,0.670881894347
124,54,3,0.670881894347
125,54,3,0.670881894347
126,55,1,2.97032069237
127,56,2,1.57778403722
128,56,2,1.57778403722
129,57,2,0.638463882062
130,57,2,0.638463882062
131,58,2,1.57778403722
132,58,2,1.57778403722
133,59,3,0.657862619085
134,59,3,0.657862619085
135,59,3,0.657862619085
136,60,3,1.24661313639
137,60,3,1.24661313639
138,60,3,1.24661313639
139,61,3,2.06705170665
140,61,3,2.06705170665
141,61,3,2.06705170665
142,62,3,0.354037758168
143,62,3,0.354037758168
144,62,3,0.354037758168
145,63,2,1.57778403722
146,63,2,1.57778403722
147,64,3,1.24661313639
148,64,3,1.24661313639
149,64,3,1.24661313639
150,65,3,0.657862619085
151,65,3,0.657862619085
152,65,3,0.657862619085
153,66,3,1.24661313639
154,66,3,1.24661313639
155,66,3,1.24661313639
156,67,2,3.06056928999
157,67,2,3.06056928999
158,68,2,0.638463882062
159,68,2,0.638463882062
160,69,1,0.333466208067
161,70,3,1.24661313639
162,70,3,1.24661313639
163,70,3,1.24661313639
164,71,3,3.15355995159
165,71,3,3.15355995159
166,71,3,3.15355995159
167,72,3,0.657862619085
168,72,3,0.657862619085
169,72,3,0.657862619085
170,73,3,0.670881894347
171,73,3,0.670881894347
172,73,3,0.670881894347
173,74,1,0.619637165681
174,75,2,1.57778403722
175,75,2,1.57778403722
176,76,2,0.849106040083
177,76,2,0.849106040083
178,77,2,0.849106040083
179,77,2,0.849106040083
180,78,3,1.24661313639
181,78,3,1.24661313639
182,78,3,1.24661313639
183,79,2,0.849106040083
184,79,2,0.849106040083
185,80,2,3.06056928999
186,80,2,3.06056928999
187,81,3,0.657862619085
188,81,3,0.657862619085
189,81,3,0.657862619085
190,82,3,1.24661313639
191,82,3,1.24661313639
192,82,3,1.24661313639
193,83,2,0.343598062755
194,83,2,0.343598062755
195,84,2,0.638463882062
196,84,2,0.638463882062
197,85,1,2.97032069237
198,86,2,0.343598062755
199,86,2,0.343598062755
200,87,2,1.57778403722
201,87,2,1.57778403722
202,88,3,0.354037758168
203,88,3,0.354037758168
204,88,3,0.354037758168
205,89,1,2.97032069237
206,90,3,1.24661313639
207,90,3,1.24661313639
208,90,3,1.24661313639
209,91,2,0.638463882062
210,91,2,0.638463882062
211,92,2,0.343598062755
212,92,2,0.343598062755
213,93,2,0.343598062755
214,93,2,0.343598062755
215,94,3,0.657862619085
216,94,3,0.657862619085
217,94,3,0.657862619085
218,95,2,3.06056928999
219,95,2,3.06056928999
220,96,2,1.57778403722
221,96,2,1.57778403722
222,97,3,3.15355995159
223,97,3,3.15355995159
224,97,3,3.15355995159
225,98,1,0.333466208067
226,99,2,1.57778403722
227,99,2,1.57778403722
228,100,3,2.06705170665
229,100,3,2.06705170665
230,100,3,2.06705170665
231,101,3,0.670881894347
232,101,3,0.670881894347
233,101,3,0.670881894347
234,102,2,1.57778403722
235,102,2,1.57778403722
236,103,1,0.619637165681
237,104,3,0.670881894347
238,104,3,0.670881894347
239,104,3,0.670881894347
240,105,2,0.343598062755
241,105,2,0.343598062755
242,106,2,0.849106040083
243,106,2,0.849106040083
244,107,3,0.657862619085
245,107,3,0.657862619085
246,107,3,0.657862619085
247,108,3,1.11241212224
248,108,3,1.11241212224
249,108,3,1.11241212224
250,109,2,0.343598062755
251,109,2,0.343598062755
252,110,2,0.343598062755
253,110,2,0.343598062755
254,111,3,0.670881894347
255,111,3,0.670881894347
256,111,3,0.670881894347
257,112,3,1.11241212224
258,112,3,1.11241212224
259,112,3,1.11241212224
260,113,1,2.97032069237
261,114,3,1.11241212224
262,114,3,1.11241212224
263,114,3,1.11241212224
264,115,1,0.619637165681
265,116,2,1.57778403722
266,116,2,1.57778403722
267,117,1,0.333466208067
268,118,3,0.657862619085
269,118,3,0.657862619085
270,118,3,0.657862619085
271,119,3,2.06705170665
272,119,3,2.06705170665
273,119,3,2.06705170665
274,120,1,0.619637165681
275,121,3,1.11241212224
276,121,3,1.11241212224
277,121,3,1.11241212224
278,122,3,1.24661313639
279,122,3,1.24661313639
280,122,3,1.24661313639
281,123,3,0.670881894347
282,123,3,0.670881894347
283,123,3,0.670881894347
284,124,3,0.670881894347
285,124,3,0.670881894347
286,124,3,0.670881894347
287,125,3,1.24661313639
288,125,3,1.24661313639
289,125,3,1.24661313639
290,126,2,0.638463882062
291,126,2,0.638463882062
292,127,3,0.670881894347
293,127,3,0.670881894347
294,127,3,0.670881894347
295,128,1,0.333466208067
296,129,2,1.57778403722
297,129,2,1.57778403722
298,130,3,0.657862619085
299,130,3,0.657862619085
300,130,3,0.657862619085
301,131,3,1.24661313639
302,131,3,1.24661313639
303,131,3,1.24661313639
304,132,1,0.333466208067
305,133,2,0.343598062755
306,133,2,0.343598062755
307,134,1,0.619637165681
308,135,2,1.57778403722
309,135,2,1.57778403722
310,136,1,2.97032069237
311,137,3,2.06705170665
312,137,3,2.06705170665
313,137,3,2.06705170665
314,138,3,0.354037758168
315,138,3,0.354037758168
316,138,3,0.354037758168
317,139,2,0.343598062755
318,139,2,0.343598062755
319,140,2,1.57778403722
320,140,2,1.57778403722
321,141,2,0.849106040083
322,141,2,0.849106040083
323,142,3,0.657862619085
324,142,3,0.657862619085
325,142,3,0.657862619085
326,143,3,1.24661313639
327,143,3,1.24661313639
328,143,3,1.24661313639
329,144,3,0.657862619085
330,144,3,0.657862619085
331,144,3,0.657862619085
332,145,3,0.657862619085
333,145,3,0.657862619085
334,145,3,0.657862619085
335,146,3,1.24661313639
336,146,3,1.24661313639
337,146,3,1.24661313639
338,147,1,0.333466208067
339,148,2,1.64708718616
340,148,2,1.64708718616
341,149,3,2.06705170665
342,149,3,2.06705170665
343,149,3,2.06705170665
344,150,2,0.849106040083
345,150,2,0.849106040083
346,151,2,1.57778403722
347,151,2,1.57778403722
348,152,1,0.619637165681
349,153,3,1.24661313639
350,153,3,1.24661313639
351,153,3,1.24661313639
352,154,3,1.11241212224
353,154,3,1.11241212224
354,154,3,1.11241212224
355,155,3,0.657862619085
356,155,3,0.657862619085
357,155,3,0.657862619085
358,156,1,1.5985186701
359,157,3,0.657862619085
360,157,3,0.657862619085
361,157,3,0.657862619085
362,158,3,0.670881894347
363,158,3,0.670881894347
364,158,3,0.670881894347
365,159,3,0.354037758168
366,159,3,0.354037758168
367,159,3,0.354037758168
368,160,2,0.343598062755
369,160,2,0.343598062755
370,161,1,0.333466208067
371,162,3,0.657862619085
372,162,3,0.657862619085
373,162,3,0.657862619085
374,163,3,0.354037758168
375,163,3,0.354037758168
376,163,3,0.354037758168
377,164,1,0.619637165681
378,165,3,1.24661313639
379,165,3,1.24661313639
380,165,3,1.24661313639
381,166,3,0.657862619085
382,166,3,0.657862619085
383,166,3,0.657862619085
384,167,2,0.343598062755
385,167,2,0.343598062755
386,168,3,0.670881894347
387,168,3,0.670881894347
388,168,3,0.670881894347
