PNR,HHNR,APER,w
0,0,2,1.51283364728
1,0,2,1.51283364728
2,1,3,0.454162150622
3,1,3,0.454162150622
4,1,3,0.454162150622
5,2,2,0.358808314819
6,2,2,0.358808314819
7,3,3,2.43984115107
8,3,3,2.43984115107
9,3,3,2.43984115107
10,4,1,1.19520592114
11,5,3,1.05265545377
12,5,3,1.05265545377
13,5,3,1.05265545377
14,6,3,0.454162150622
15,6,3,0.454162150622
16,6,3,0.454162150622
17,7,2,0.652703389626
18,7,2,0.652703389626
19,8,3,2.43984115107
20,8,3,2.43984115107
21,8,3,2.43984115107
22,9,2,0.652703389626
23,9,2,0.652703389626
24,10,2,1.51283364728
25,10,2,1.51283364728
26,11,2,1.51283364728
27,11,2,1.51283364728
28,12,1,0.51566473117
29,13,2,3.50644056814
30,13,2,3.50644056814
31,14,1,1.19520592114
32,15,2,0.652703389626
33,15,2,0.652703389626
34,16,1,0.51566473117
35,17,1,2.17418304931
36,18,2,0.358808314819
37,18,2,0.358808314819
38,19,3,1.05265545377
39,19,3,1.05265545377
40,19,3,1.05265545377
41,20,2,0.358808314819
42,20,2,0.358808314819
43,21,3,1.05265545377
44,21,3,1.05265545377
45,21,3,1.05265545377
46,22,2,1.51283364728
47,22,2,1.51283364728
48,23,3,1.34124520534
49,23,3,1.34124520534
50,23,3,1.34124520534
51,24,3,0.5786725417
52,24,3,0.5786725417
53,24,3,0.5786725417
54,25,2,0.358808314819
55,25,2,0.358808314819
56,26,3,0.454162150622
57,26,3,0.454162150622
58,26,3,0.454162150622
59,27,3,0.5786725417
60,27,3,0.5786725417
61,27,3,0.5786725417
62,28,3,0.249664945072
63,28,3,0.249664945072
64,28,3,0.249664945072
65,29,1,0.938038791312
66,30,3,1.05265545377
67,30,3,1.05265545377
68,30,3,1.05265545377
69,31,3,1.05265545377
70,31,3,1.05265545377
71,31,3,1.05265545377
72,32,3,1.05265545377
73,32,3,1.05265545377
74,32,3,1.05265545377
75,33,3,1.34124520534
76,33,3,1.34124520534
77,33,3,1.34124520534
78,34,3,1.05265545377
79,34,3,1.05265545377
80,34,3,1.05265545377
81,35,2,1.51283364728
82,35,2,1.51283364728
83,36,1,0.51566473117
84,37,3,1.05265545377
85,37,3,1.05265545377
86,37,3,1.05265545377
87,38,3,1.34124520534
88,38,3,1.34124520534
89,38,3,1.34124520534
90,39,2,1.51283364728
91,39,2,1.51283364728
92,40,2,0.652703389626
93,40,2,0.652703389626
94,41,2,3.50644056814
95,41,2,3.50644056814
96,42,3,2.43984115107
97,42,3,2.43984115107
98,42,3,2.43984115107
99,43,2,0.652703389626
100,43,2,0.652703389626
101,44,1,0.51566473117
102,45,3,0.249664945072
103,45,3,0.249664945072
104,45,3,0.249664945072
105,46,2,0.831644664651
106,46,2,0.831644664651
107,47,3,0.5786725417
108,47,3,0.5786725417
109,47,3,0.5786725417
110,48,3,0.454162150622
111,48,3,0.454162150622
112,48,3,0.454162150622
113,49,1,0.51566473117
114,50,1,0.938038791312
115,51,3,0.5786725417
116,51,3,0.5786725417
117,51,3,0.5786725417
118,52,2,0.358808314819
119,52,2,0.358808314819
120,53,3,0.454162150622
121,53,3,0.454162150622
122,53,3,0.454162150622
123,54,3,0.5786725417
124,54,3,0.5786725417
125,54,3,0.5786725417
126,55,1,2.17418304931
127,56,2,1.51283364728
128,56,2,1.51283364728
129,57,2,0.652703389626
130,57,2,0.652703389626
131,58,2,1.51283364728
132,58,2,1.51283364728
133,59,3,0.454162150622
134,59,3,0.454162150622
135,59,3,0.454162150622
136,60,3,1.05265545377
137,60,3,1.05265545377
138,60,3,1.05265545377
139,61,3,2.43984115107
140,61,3,2.43984115107
141,61,3,2.43984115107
142,62,3,0.249664945072
143,62,3,0.249664945072
144,62,3,0.249664945072
145,63,2,1.51283364728
146,63,2,1.51283364728
147,64,3,1.05265545377
148,64,3,1.05265545377
149,64,3,1.05265545377
150,65,3,0.454162150622
151,65,3,0.454162150622
152,65,3,0.454162150622
153,66,3,1.05265545377
154,66,3,1.05265545377
155,66,3,1.05265545377
156,67,2,3.50644056814
157,67,2,3.50644056814
158,68,2,0.652703389626
159,68,2,0.652703389626
160,69,1,0.51566473117
161,70,3,1.05265545377
162,70,3,1.05265545377
163,70,3,1.05265545377
164,71,3,5.65505533759
165,71,3,5.65505533759
166,71,3,5.65505533759
167,72,3,0.454162150622
168,72,3,0.454162150622
169,72,3,0.454162150622
170,73,3,0.5786725417
171,73,3,0.5786725417
172,73,3,0.5786725417
173,74,1,0.938038791312
174,75,2,1.51283364728
175,75,2,1.51283364728
176,76,2,0.831644664651
177,76,2,0.831644664651
178,77,2,0.831644664651
179,77,2,0.831644664651
180,78,3,1.05265545377
181,78,3,1.05265545377
182,78,3,1.05265545377
183,79,2,0.831644664651
184,79,2,0.831644664651
185,80,2,3.50644056814
186,80,2,3.50644056814
187,81,3,0.454162150622
188,81,3,0.454162150622
189,81,3,0.454162150622
190,82,3,1.05265545377
191,82,3,1.05265545377
192,82,3,1.05265545377
193,83,2,0.358808314819
194,83,2,0.358808314819
195,84,2,0.652703389626
196,84,2,0.652703389626
197,85,1,2.17418304931
198,86,2,0.358808314819
199,86,2,0.358808314819
200,87,2,1.51283364728
201,87,2,1.51283364728
202,88,3,0.249664945072
203,88,3,0.249664945072
204,88,3,0.249664945072
205,89,1,2.17418304931
206,90,3,1.05265545377
207,90,3,1.05265545377
208,90,3,1.05265545377
209,91,2,0.652703389626
210,91,2,0.652703389626
211,92,2,0.358808314819
212,92,2,0.358808314819
213,93,2,0.358808314819
214,93,2,0.358808314819
215,94,3,0.454162150622
216,94,3,0.454162150622
217,94,3,0.454162150622
218,95,2,3.50644056814
219,95,2,3.50644056814
220,96,2,1.51283364728
221,96,2,1.51283364728
222,97,3,5.65505533759
223,97,3,5.65505533759
224,97,3,5.65505533759
225,98,1,0.51566473117
226,99,2,1.51283364728
227,99,2,1.51283364728
228,100,3,2.43984115107
229,100,3,2.43984115107
230,100,3,2.43984115107
231,101,3,0.5786725417
232,101,3,0.5786725417
233,101,3,0.5786725417
234,102,2,1.51283364728
235,102,2,1.51283364728
236,103,1,0.938038791312
237,104,3,0.5786725417
238,104,3,0.5786725417
239,104,3,0.5786725417
240,105,2,0.358808314819
241,105,2,0.358808314819
242,106,2,0.831644664651
243,106,2,0.831644664651
244,107,3,0.454162150622
245,107,3,0.454162150622
246,107,3,0.454162150622
247,108,3,1.34124520534
248,108,3,1.34124520534
249,108,3,1.34124520534
250,109,2,0.358808314819
251,109,2,0.358808314819
252,110,2,0.358808314819
253,110,2,0.358808314819
254,111,3,0.5786725417
255,111,3,0.5786725417
256,111,3,0.5786725417
257,112,3,1.34124520534
258,112,3,1.34124520534
259,112,3,1.34124520534
260,113,1,2.17418304931
261,114,3,1.34124520534
262,114,3,1.34124520534
263,114,3,1.34124520534
264,115,1,0.938038791312
265,116,2,1.51283364728
266,116,2,1.51283364728
267,117,1,0.51566473117
268,118,3,0.454162150622
269,118,3,0.454162150622
270,118,3,0.454162150622
271,119,3,2.43984115107
272,119,3,2.43984115107
273,119,3,2.43984115107
274,120,1,0.938038791312
275,121,3,1.34124520534
276,121,3,1.34124520534
277,121,3,1.34124520534
278,122,3,1.05265545377
279,122,3,1.05265545377
280,122,3,1.05265545377
281,123,3,0.5786725417
282,123,3,0.5786725417
283,123,3,0.5786725417
284,124,3,0.5786725417
285,124,3,0.5786725417
286,124,3,0.5786725417
287,125,3,1.05265545377
288,125,3,1.05265545377
289,125,3,1.05265545377
290,126,2,0.652703389626
291,126,2,0.652703389626
292,127,3,0.5786725417
293,127,3,0.5786725417
294,127,3,0.5786725417
295,128,1,0.51566473117
296,129,2,1.51283364728
297,129,2,1.51283364728
298,130,3,0.454162150622
299,130,3,0.454162150622
300,130,3,0.454162150622
301,131,3,1.05265545377
302,131,3,1.05265545377
303,131,3,1.05265545377
304,132,1,0.51566473117
305,133,2,0.358808314819
306,133,2,0.358808314819
307,134,1,0.938038791312
308,135,2,1.51283364728
309,135,2,1.51283364728
310,136,1,2.17418304931
311,137,3,2.43984115107
312,137,3,2.43984115107
313,137,3,2.43984115107
314,138,3,0.249664945072
315,138,3,0.249664945072
316,138,3,0.249664945072
317,139,2,0.358808314819
318,139,2,0.358808314819
319,140,2,1.51283364728
320,140,2,1.51283364728
321,141,2,0.831644664651
322,141,2,0.831644664651
323,142,3,0.454162150622
324,142,3,0.454162150622
325,142,3,0.454162150622
326,143,3,1.05265545377
327,143,3,1.05265545377
328,143,3,1.05265545377
329,144,3,0.454162150622
330,144,3,0.454162150622
331,144,3,0.454162150622
332,145,3,0.454162150622
333,145,3,0.454162150622
334,145,3,0.454162150622
335,146,3,1.05265545377
336,146,3,1.05265545377
337,146,3,1.05265545377
338,147,1,0.51566473117
339,148,2,1.92758311243
340,148,2,1.92758311243
341,149,3,2.43984115107
342,149,3,2.43984115107
343,149,3,2.43984115107
344,150,2,0.831644664651
345,150,2,0.831644664651
346,151,2,1.51283364728
347,151,2,1.51283364728
348,152,1,0.938038791312
349,153,3,1.05265545377
350,153,3,1.05265545377
351,153,3,1.05265545377
352,154,3,1.34124520534
353,154,3,1.34124520534
354,154,3,1.34124520534
355,155,3,0.454162150622
356,155,3,0.454162150622
357,155,3,0.454162150622
358,156,1,1.19520592114
359,157,3,0.454162150622
360,157,3,0.454162150622
361,157,3,0.454162150622
362,158,3,0.5786725417
363,158,3,0.5786725417
364,158,3,0.5786725417
365,159,3,0.249664945072
366,159,3,0.249664945072
367,159,3,0.249664945072
368,160,2,0.358808314819
369,160,2,0.358808314819
370,161,1,0.51566473117
371,162,3,0.454162150622
372,162,3,0.454162150622
373,162,3,0.454162150622
374,163,3,0.249664945072
375,163,3,0.249664945072
376,163,3,0.249664945072
377,164,1,0.938038791312
378,165,3,1.05265545377
379,165,3,1.05265545377
380,165,3,1.05265545377
381,166,3,0.454162150622
382,166,3,0.454162150622
383,166,3,0.454162150622
384,167,2,0.358808314819
385,167,2,0.358808314819
386,168,3,0.5786725417
387,168,3,0.5786725417
388,168,3,0.5786725417
389,169,3,0.5786725417
390,169,3,0.5786725417
391,169,3,0.5786725417
392,170,2,0.652703389626
393,170,2,0.652703389626
394,171,2,3.50644056814
395,171,2,3.50644056814
396,172,2,1.51283364728
397,172,2,1.51283364728
398,173,2,1.51283364728
399,173,2,1.51283364728
400,174,3,0.5786725417
401,174,3,0.5786725417
402,174,3,0.5786725417
403,175,3,0.454162150622
404,175,3,0.454162150622
405,175,3,0.454162150622
