PNR,HHNR,APER,w
0,0,2,1.51281990282
1,0,2,1.51281990282
2,1,3,0.454163364255
3,1,3,0.454163364255
4,1,3,0.454163364255
5,2,2,0.358796034888
6,2,2,0.358796034888
7,3,3,2.43988862366
8,3,3,2.43988862366
9,3,3,2.43988862366
10,4,1,1.19515096407
11,5,3,1.0526671011
12,5,3,1.0526671011
13,5,3,1.0526671011
14,6,3,0.454163364255
15,6,3,0.454163364255
16,6,3,0.454163364255
17,7,2,0.65269198198
18,7,2,0.65269198198
19,8,3,2.43988862366
20,8,3,2.43988862366
21,8,3,2.43988862366
22,9,2,0.65269198198
23,9,2,0.65269198198
24,10,2,1.51281990282
25,10,2,1.51281990282
26,11,2,1.51281990282
27,11,2,1.51281990282
28,12,1,0.515636692804
29,13,2,3.50643813861
30,13,2,3.50643813861
31,14,1,1.19515096407
32,15,2,0.65269198198
33,15,2,0.65269198198
34,16,1,0.515636692804
35,17,1,2.17411948754
36,18,2,0.358796034888
37,18,2,0.358796034888
38,19,3,1.0526671011
39,19,3,1.0526671011
40,19,3,1.0526671011
41,20,2,0.358796034888
42,20,2,0.358796034888
43,21,3,1.0526671011
44,21,3,1.0526671011
45,21,3,1.0526671011
46,22,2,1.51281990282
47,22,2,1.51281990282
48,23,3,1.34124884004
49,23,3,1.34124884004
50,23,3,1.34124884004
51,24,3,0.578669253427
52,24,3,0.578669253427
53,24,3,0.578669253427
54,25,2,0.358796034888
55,25,2,0.358796034888
56,26,3,0.454163364255
57,26,3,0.454163364255
58,26,3,0.454163364255
59,27,3,0.578669253427
60,27,3,0.578669253427
61,27,3,0.578669253427
62,28,3,0.249661431096
63,28,3,0.249661431096
64,28,3,0.249661431096
65,29,1,0.938003495811
66,30,3,1.0526671011
67,30,3,1.0526671011
68,30,3,1.0526671011
69,31,3,1.0526671011
70,31,3,1.0526671011
71,31,3,1.0526671011
72,32,3,1.0526671011
73,32,3,1.0526671011
74,32,3,1.0526671011
75,33,3,1.34124884004
76,33,3,1.34124884004
77,33,3,1.34124884004
78,34,3,1.0526671011
79,34,3,1.0526671011
80,34,3,1.0526671011
81,35,2,1.51281990282
82,35,2,1.51281990282
83,36,1,0.515636692804
84,37,3,1.0526671011
85,37,3,1.0526671011
86,37,3,1.0526671011
87,38,3,1.34124884004
88,38,3,1.34124884004
89,38,3,1.34124884004
90,39,2,1.51281990282
91,39,2,1.51281990282
92,40,2,0.65269198198
93,40,2,0.65269198198
94,41,2,3.50643813861
95,41,2,3.50643813861
96,42,3,2.43988862366
97,42,3,2.43988862366
98,42,3,2.43988862366
