PNR,HHNR,APER,w
0,0,2,1.53562817866
1,0,2,1.53562817866
2,1,3,0.580488087402
3,1,3,0.580488087402
4,1,3,0.580488087402
5,2,2,0.306304047328
6,2,2,0.306304047328
7,3,3,2.17805765163
8,3,3,2.17805765163
9,3,3,2.17805765163
10,4,1,1.78227549623
11,5,3,1.20455263417
12,5,3,1.20455263417
13,5,3,1.20455263417
14,6,3,0.580488087402
15,6,3,0.580488087402
16,6,3,0.580488087402
17,7,2,0.543139475661
18,7,2,0.543139475661
19,8,3,2.17805765163
20,8,3,2.17805765163
21,8,3,2.17805765163
22,9,2,0.543139475661
23,9,2,0.543139475661
24,10,2,1.53562817866
25,10,2,1.53562817866
26,11,2,1.53562817866
27,11,2,1.53562817866
28,12,1,0.286596440597
29,13,2,3.3776559698
30,13,2,3.3776559698
31,14,1,1.78227549623
32,15,2,0.543139475661
33,15,2,0.543139475661
34,16,1,0.286596440597
35,17,1,3.16033753701
36,18,2,0.306304047328
37,18,2,0.306304047328
38,19,3,1.20455263417
39,19,3,1.20455263417
40,19,3,1.20455263417
41,20,2,0.306304047328
42,20,2,0.306304047328
43,21,3,1.20455263417
44,21,3,1.20455263417
45,21,3,1.20455263417
46,22,2,1.53562817866
47,22,2,1.53562817866
48,23,3,1.22831777822
49,23,3,1.22831777822
50,23,3,1.22831777822
51,24,3,0.679308655691
52,24,3,0.679308655691
53,24,3,0.679308655691
54,25,2,0.306304047328
55,25,2,0.306304047328
56,26,3,0.580488087402
57,26,3,0.580488087402
58,26,3,0.580488087402
59,27,3,0.679308655691
60,27,3,0.679308655691
61,27,3,0.679308655691
62,28,3,0.327366834054
63,28,3,0.327366834054
64,28,3,0.327366834054
65,29,1,0.508193874127
66,30,3,1.20455263417
67,30,3,1.20455263417
68,30,3,1.20455263417
69,31,3,1.20455263417
70,31,3,1.20455263417
71,31,3,1.20455263417
72,32,3,1.20455263417
73,32,3,1.20455263417
74,32,3,1.20455263417
75,33,3,1.22831777822
76,33,3,1.22831777822
77,33,3,1.22831777822
78,34,3,1.20455263417
79,34,3,1.20455263417
80,34,3,1.20455263417
81,35,2,1.53562817866
82,35,2,1.53562817866
83,36,1,0.286596440597
84,37,3,1.20455263417
85,37,3,1.20455263417
86,37,3,1.20455263417
87,38,3,1.22831777822
88,38,3,1.22831777822
89,38,3,1.22831777822
90,39,2,1.53562817866
91,39,2,1.53562817866
92,40,2,0.543139475661
93,40,2,0.543139475661
94,41,2,3.3776559698
95,41,2,3.3776559698
96,42,3,2.17805765163
97,42,3,2.17805765163
98,42,3,2.17805765163
99,43,2,0.543139475661
100,43,2,0.543139475661
101,44,1,0.286596440597
102,45,3,0.327366834054
103,45,3,0.327366834054
104,45,3,0.327366834054
105,46,2,0.866019038185
106,46,2,0.866019038185
107,47,3,0.679308655691
108,47,3,0.679308655691
109,47,3,0.679308655691
110,48,3,0.580488087402
111,48,3,0.580488087402
112,48,3,0.580488087402
113,49,1,0.286596440597
114,50,1,0.508193874127
115,51,3,0.679308655691
116,51,3,0.679308655691
117,51,3,0.679308655691
118,52,2,0.306304047328
119,52,2,0.306304047328
120,53,3,0.580488087402
121,53,3,0.580488087402
122,53,3,0.580488087402
123,54,3,0.679308655691
124,54,3,0.679308655691
125,54,3,0.679308655691
126,55,1,3.16033753701
127,56,2,1.53562817866
128,56,2,1.53562817866
129,57,2,0.543139475661
130,57,2,0.543139475661
131,58,2,1.53562817866
132,58,2,1.53562817866
133,59,3,0.580488087402
134,59,3,0.580488087402
135,59,3,0.580488087402
136,60,3,1.20455263417
137,60,3,1.20455263417
138,60,3,1.20455263417
139,61,3,2.17805765163
140,61,3,2.17805765163
141,61,3,2.17805765163
142,62,3,0.327366834054
143,62,3,0.327366834054
144,62,3,0.327366834054
145,63,2,1.53562817866
146,63,2,1.53562817866
147,64,3,1.20455263417
148,64,3,1.20455263417
149,64,3,1.20455263417
150,65,3,0.580488087402
151,65,3,0.580488087402
152,65,3,0.580488087402
153,66,3,1.20455263417
154,66,3,1.20455263417
155,66,3,1.20455263417
156,67,2,3.3776559698
157,67,2,3.3776559698
158,68,2,0.543139475661
159,68,2,0.543139475661
160,69,1,0.286596440597
161,70,3,1.20455263417
162,70,3,1.20455263417
163,70,3,1.20455263417
164,71,3,3.60991815487
165,71,3,3.60991815487
166,71,3,3.60991815487
167,72,3,0.580488087402
168,72,3,0.580488087402
169,72,3,0.580488087402
170,73,3,0.679308655691
