PNR,HHNR,APER,w
0,0,2,1.5128319377
1,0,2,1.5128319377
2,1,3,0.454155988273
3,1,3,0.454155988273
4,1,3,0.454155988273
5,2,2,0.35880567118
6,2,2,0.35880567118
7,3,3,2.43984992126
8,3,3,2.43984992126
9,3,3,2.43984992126
10,4,1,1.1952119818
11,5,3,1.05265020412
12,5,3,1.05265020412
13,5,3,1.05265020412
14,6,3,0.454155988273
15,6,3,0.454155988273
16,6,3,0.454155988273
17,7,2,0.652697050806
18,7,2,0.652697050806
19,8,3,2.43984992126
20,8,3,2.43984992126
21,8,3,2.43984992126
22,9,2,0.652697050806
23,9,2,0.652697050806
24,10,2,1.5128319377
25,10,2,1.5128319377
26,11,2,1.5128319377
27,11,2,1.5128319377
28,12,1,0.515662920756
29,13,2,3.50646669677
30,13,2,3.50646669677
31,14,1,1.1952119818
32,15,2,0.652697050806
33,15,2,0.652697050806
34,16,1,0.515662920756
35,17,1,2.17418897824
36,18,2,0.35880567118
37,18,2,0.35880567118
38,19,3,1.05265020412
39,19,3,1.05265020412
40,19,3,1.05265020412
41,20,2,0.35880567118
42,20,2,0.35880567118
43,21,3,1.05265020412
44,21,3,1.05265020412
45,21,3,1.05265020412
46,22,2,1.5128319377
47,22,2,1.5128319377
48,23,3,1.3412531702
49,23,3,1.3412531702
50,23,3,1.3412531702
51,24,3,0.578671012132
52,24,3,0.578671012132
53,24,3,0.578671012132
54,25,2,0.35880567118
55,25,2,0.35880567118
56,26,3,0.454155988273
57,26,3,0.454155988273
58,26,3,0.454155988273
59,27,3,0.578671012132
60,27,3,0.578671012132
61,27,3,0.578671012132
62,28,3,0.24966214263
63,28,3,0.24966214263
64,28,3,0.24966214263
65,29,1,0.938033299421
66,30,3,1.05265020412
67,30,3,1.05265020412
68,30,3,1.05265020412
69,31,3,1.05265020412
70,31,3,1.05265020412
71,31,3,1.05265020412
72,32,3,1.05265020412
73,32,3,1.05265020412
74,32,3,1.05265020412
75,33,3,1.3412531702
76,33,3,1.3412531702
77,33,3,1.3412531702
78,34,3,1.05265020412
79,34,3,1.05265020412
80,34,3,1.05265020412
81,35,2,1.5128319377
82,35,2,1.5128319377
83,36,1,0.515662920756
84,37,3,1.05265020412
85,37,3,1.05265020412
86,37,3,1.05265020412
87,38,3,1.3412531702
88,38,3,1.3412531702
89,38,3,1.3412531702
90,39,2,1.5128319377
91,39,2,1.5128319377
92,40,2,0.652697050806
93,40,2,0.652697050806
94,41,2,3.50646669677
95,41,2,3.50646669677
96,42,3,2.43984992126
97,42,3,2.43984992126
98,42,3,2.43984992126
99,43,2,0.652697050806
100,43,2,0.652697050806
101,44,1,0.515662920756
102,45,3,0.24966214263
103,45,3,0.24966214263
104,45,3,0.24966214263
105,46,2,0.831645674082
106,46,2,0.831645674082
107,47,3,0.578671012132
108,47,3,0.578671012132
109,47,3,0.578671012132
110,48,3,0.454155988273
111,48,3,0.454155988273
112,48,3,0.454155988273
113,49,1,0.515662920756
114,50,1,0.938033299421
115,51,3,0.578671012132
116,51,3,0.578671012132
117,51,3,0.578671012132
118,52,2,0.35880567118
119,52,2,0.35880567118
120,53,3,0.454155988273
121,53,3,0.454155988273
122,53,3,0.454155988273
123,54,3,0.578671012132
124,54,3,0.578671012132
125,54,3,0.578671012132
126,55,1,2.17418897824
127,56,2,1.5128319377
128,56,2,1.5128319377
129,57,2,0.652697050806
130,57,2,0.652697050806
131,58,2,1.5128319377
132,58,2,1.5128319377
133,59,3,0.454155988273
134,59,3,0.454155988273
135,59,3,0.454155988273
136,60,3,1.05265020412
137,60,3,1.05265020412
138,60,3,1.05265020412
139,61,3,2.43984992126
140,61,3,2.43984992126
141,61,3,2.43984992126
142,62,3,0.24966214263
143,62,3,0.24966214263
144,62,3,0.24966214263
145,63,2,1.5128319377
146,63,2,1.5128319377
147,64,3,1.05265020412
148,64,3,1.05265020412
149,64,3,1.05265020412
150,65,3,0.454155988273
151,65,3,0.454155988273
152,65,3,0.454155988273
153,66,3,1.05265020412
154,66,3,1.05265020412
155,66,3,1.05265020412
156,67,2,3.50646669677
157,67,2,3.50646669677
158,68,2,0.652697050806
159,68,2,0.652697050806
160,69,1,0.515662920756
161,70,3,1.05265020412
162,70,3,1.05265020412
163,70,3,1.05265020412
164,71,3,5.65512419509
165,71,3,5.65512419509
166,71,3,5.65512419509
167,72,3,0.454155988273
168,72,3,0.454155988273
169,72,3,0.454155988273
170,73,3,0.578671012132
171,73,3,0.578671012132
172,73,3,0.578671012132
173,74,1,0.938033299421
174,75,2,1.5128319377
175,75,2,1.5128319377
176,76,2,0.831645674082
177,76,2,0.831645674082
178,77,2,0.831645674082
179,77,2,0.831645674082
180,78,3,1.05265020412
181,78,3,1.05265020412
182,78,3,1.05265020412
183,79,2,0.831645674082
184,79,2,0.831645674082
185,80,2,3.50646669677
186,80,2,3.50646669677
187,81,3,0.454155988273
188,81,3,0.454155988273
189,81,3,0.454155988273
190,82,3,1.05265020412
191,82,3,1.05265020412
192,82,3,1.05265020412
193,83,2,0.35880567118
194,83,2,0.35880567118
195,84,2,0.652697050806
196,84,2,0.652697050806
197,85,1,2.17418897824
198,86,2,0.35880567118
199,86,2,0.35880567118
200,87,2,1.5128319377
201,87,2,1.5128319377
202,88,3,0.24966214263
203,88,3,0.24966214263
204,88,3,0.24966214263
205,89,1,2.17418897824
206,90,3,1.05265020412
207,90,3,1.05265020412
208,90,3,1.05265020412
209,91,2,0.652697050806
210,91,2,0.652697050806
211,92,2,0.35880567118
212,92,2,0.35880567118
213,93,2,0.35880567118
214,93,2,0.35880567118
215,94,3,0.454155988273
216,94,3,0.454155988273
217,94,3,0.454155988273
218,95,2,3.50646669677
219,95,2,3.50646669677
220,96,2,1.5128319377
221,96,2,1.5128319377
222,97,3,5.65512419509
223,97,3,5.65512419509
224,97,3,5.65512419509
225,98,1,0.515662920756
226,99,2,1.5128319377
227,99,2,1.5128319377
228,100,3,2.43984992126
229,100,3,2.43984992126
230,100,3,2.43984992126
231,101,3,0.578671012132
232,101,3,0.578671012132
233,101,3,0.578671012132
234,102,2,1.5128319377
235,102,2,1.5128319377
236,103,1,0.938033299421
237,104,3,0.578671012132
238,104,3,0.578671012132
239,104,3,0.578671012132
240,105,2,0.35880567118
241,105,2,0.35880567118
242,106,2,0.831645674082
243,106,2,0.831645674082
244,107,3,0.454155988273
245,107,3,0.454155988273
246,107,3,0.454155988273
247,108,3,1.3412531702
248,108,3,1.3412531702
249,108,3,1.3412531702
250,109,2,0.35880567118
251,109,2,0.35880567118
252,110,2,0.35880567118
253,110,2,0.35880567118
254,111,3,0.578671012132
255,111,3,0.578671012132
256,111,3,0.578671012132
257,112,3,1.3412531702
258,112,3,1.3412531702
259,112,3,1.3412531702
260,113,1,2.17418897824
261,114,3,1.3412531702
262,114,3,1.3412531702
263,114,3,1.3412531702
264,115,1,0.938033299421
265,116,2,1.5128319377
266,116,2,1.5128319377
267,117,1,0.515662920756
268,118,3,0.454155988273
269,118,3,0.454155988273
270,118,3,0.454155988273
271,119,3,2.43984992126
272,119,3,2.43984992126
273,119,3,2.43984992126
274,120,1,0.938033299421
275,121,3,1.3412531702
276,121,3,1.3412531702
277,121,3,1.3412531702
278,122,3,1.05265020412
279,122,3,1.05265020412
280,122,3,1.05265020412
281,123,3,0.578671012132
282,123,3,0.578671012132
283,123,3,0.578671012132
284,124,3,0.578671012132
285,124,3,0.578671012132
286,124,3,0.578671012132
287,125,3,1.05265020412
288,125,3,1.05265020412
289,125,3,1.05265020412
290,126,2,0.652697050806
291,126,2,0.652697050806
292,127,3,0.578671012132
293,127,3,0.578671012132
294,127,3,0.578671012132
295,128,1,0.515662920756
296,129,2,1.5128319377
297,129,2,1.5128319377
298,130,3,0.454155988273
299,130,3,0.454155988273
300,130,3,0.454155988273
301,131,3,1.05265020412
302,131,3,1.05265020412
303,131,3,1.05265020412
304,132,1,0.515662920756
305,133,2,0.35880567118
306,133,2,0.35880567118
307,134,1,0.938033299421
308,135,2,1.5128319377
309,135,2,1.5128319377
310,136,1,2.17418897824
311,137,3,2.43984992126
312,137,3,2.43984992126
313,137,3,2.43984992126
314,138,3,0.24966214263
315,138,3,0.24966214263
316,138,3,0.24966214263
317,139,2,0.35880567118
318,139,2,0.35880567118
319,140,2,1.5128319377
320,140,2,1.5128319377
