PNR	HHNR	APER	WKSTAT	AGE
0	0	1	nonworker	0--14
1	1	1	nonworker	0--14
2	2	1	nonworker	0--14
3	3	1	nonworker	0--14
4	4	1	nonworker	0--14
5	5	1	nonworker	0--14
6	6	1	nonworker	0--14
7	7	1	nonworker	0--14
8	8	1	nonworker	0--14
9	9	1	nonworker	0--14
10	10	1	nonworker	0--14
11	11	1	nonworker	0--14
12	12	1	nonworker	0--14
13	13	1	nonworker	0--14
14	14	1	nonworker	0--14
15	15	1	nonworker	0--14
16	16	1	nonworker	0--14
17	17	1	nonworker	0--14
18	18	1	nonworker	0--14
19	19	1	nonworker	0--14
20	20	1	nonworker	0--14
21	21	1	nonworker	0--14
22	22	1	nonworker	0--14
23	23	1	nonworker	0--14
24	24	1	nonworker	0--14
25	25	1	nonworker	0--14
26	26	1	nonworker	0--14
27	27	1	nonworker	0--14
28	28	1	nonworker	0--14
29	29	1	nonworker	0--14
30	30	1	nonworker	0--14
31	31	1	nonworker	0--14
32	32	1	nonworker	0--14
33	33	1	nonworker	0--14
34	34	1	nonworker	0--14
35	35	1	nonworker	0--14
36	36	1	nonworker	0--14
37	37	1	nonworker	0--14
38	38	1	nonworker	0--14
39	39	1	nonworker	0--14
40	40	1	nonworker	0--14
41	41	1	nonworker	0--14
42	42	1	nonworker	0--14
43	43	1	nonworker	0--14
44	44	1	nonworker	0--14
45	45	1	nonworker	0--14
46	46	1	nonworker	0--14
47	47	1	nonworker	0--14
48	48	1	nonworker	0--14
49	49	1	nonworker	0--14
50	50	1	nonworker	0--14
51	51	1	nonworker	0--14
52	52	1	nonworker	0--14
53	53	1	nonworker	0--14
54	54	1	nonworker	0--14
55	55	1	nonworker	0--14
56	56	1	nonworker	0--14
57	57	1	nonworker	0--14
58	58	1	nonworker	0--14
59	59	1	nonworker	0--14
60	60	1	nonworker	0--14
61	61	1	nonworker	0--14
62	62	1	nonworker	0--14
63	63	1	nonworker	0--14
64	64	1	nonworker	0--14
65	65	1	nonworker	0--14
66	66	1	nonworker	0--14
67	67	1	nonworker	0--14
68	68	1	nonworker	0--14
69	69	1	nonworker	0--14
70	70	1	nonworker	0--14
71	71	1	nonworker	0--14
72	72	1	nonworker	0--14
