PNR,HHNR,APER,w
0,0,2,1.5127764003
1,0,2,1.5127764003
2,1,3,0.454183547689
3,1,3,0.454183547689
4,1,3,0.454183547689
5,2,2,0.358774529688
6,2,2,0.358774529688
7,3,3,2.44011170349
8,3,3,2.44011170349
9,3,3,2.44011170349
10,4,1,1.19499185803
11,5,3,1.0527386144
12,5,3,1.0527386144
13,5,3,1.0527386144
14,6,3,0.454183547689
15,6,3,0.454183547689
16,6,3,0.454183547689
17,7,2,0.652657880076
18,7,2,0.652657880076
19,8,3,2.44011170349
20,8,3,2.44011170349
21,8,3,2.44011170349
22,9,2,0.652657880076
23,9,2,0.652657880076
24,10,2,1.5127764003
25,10,2,1.5127764003
26,11,2,1.5127764003
27,11,2,1.5127764003
28,12,1,0.515555935838
29,13,2,3.50641968352
30,13,2,3.50641968352
31,14,1,1.19499185803
32,15,2,0.652657880076
33,15,2,0.652657880076
34,16,1,0.515555935838
35,17,1,2.1738467707
36,18,2,0.358774529688
37,18,2,0.358774529688
38,19,3,1.0527386144
39,19,3,1.0527386144
40,19,3,1.0527386144
41,20,2,0.358774529688
42,20,2,0.358774529688
43,21,3,1.0527386144
44,21,3,1.0527386144
45,21,3,1.0527386144
46,22,2,1.5127764003
47,22,2,1.5127764003
48,23,3,1.34136115648
49,23,3,1.34136115648
50,23,3,1.34136115648
51,24,3,0.57870411558
52,24,3,0.57870411558
53,24,3,0.57870411558
54,25,2,0.358774529688
55,25,2,0.358774529688
56,26,3,0.454183547689
57,26,3,0.454183547689
58,26,3,0.454183547689
59,27,3,0.57870411558
60,27,3,0.57870411558
61,27,3,0.57870411558
62,28,3,0.249670606436
63,28,3,0.249670606436
64,28,3,0.249670606436
65,29,1,0.937863801083
66,30,3,1.0527386144
67,30,3,1.0527386144
68,30,3,1.0527386144
69,31,3,1.0527386144
70,31,3,1.0527386144
71,31,3,1.0527386144
72,32,3,1.0527386144
73,32,3,1.0527386144
74,32,3,1.0527386144
75,33,3,1.34136115648
76,33,3,1.34136115648
77,33,3,1.34136115648
78,34,3,1.0527386144
79,34,3,1.0527386144
80,34,3,1.0527386144
81,35,2,1.5127764003
82,35,2,1.5127764003
83,36,1,0.515555935838
84,37,3,1.0527386144
85,37,3,1.0527386144
86,37,3,1.0527386144
87,38,3,1.34136115648
88,38,3,1.34136115648
89,38,3,1.34136115648
90,39,2,1.5127764003
91,39,2,1.5127764003
92,40,2,0.652657880076
93,40,2,0.652657880076
94,41,2,3.50641968352
95,41,2,3.50641968352
96,42,3,2.44011170349
97,42,3,2.44011170349
98,42,3,2.44011170349
99,43,2,0.652657880076
100,43,2,0.652657880076
101,44,1,0.515555935838
102,45,3,0.249670606436
103,45,3,0.249670606436
104,45,3,0.249670606436
105,46,2,0.831592872941
106,46,2,0.831592872941
107,47,3,0.57870411558
108,47,3,0.57870411558
109,47,3,0.57870411558
110,48,3,0.454183547689
111,48,3,0.454183547689
112,48,3,0.454183547689
113,49,1,0.515555935838
114,50,1,0.937863801083
115,51,3,0.57870411558
116,51,3,0.57870411558
117,51,3,0.57870411558
118,52,2,0.358774529688
119,52,2,0.358774529688
120,53,3,0.454183547689
121,53,3,0.454183547689
122,53,3,0.454183547689
123,54,3,0.57870411558
124,54,3,0.57870411558
125,54,3,0.57870411558
126,55,1,2.1738467707
127,56,2,1.5127764003
128,56,2,1.5127764003
129,57,2,0.652657880076
130,57,2,0.652657880076
131,58,2,1.5127764003
132,58,2,1.5127764003
133,59,3,0.454183547689
134,59,3,0.454183547689
135,59,3,0.454183547689
136,60,3,1.0527386144
137,60,3,1.0527386144
138,60,3,1.0527386144
139,61,3,2.44011170349
140,61,3,2.44011170349
141,61,3,2.44011170349
142,62,3,0.249670606436
143,62,3,0.249670606436
144,62,3,0.249670606436
145,63,2,1.5127764003
146,63,2,1.5127764003
147,64,3,1.0527386144
148,64,3,1.0527386144
149,64,3,1.0527386144
150,65,3,0.454183547689
151,65,3,0.454183547689
152,65,3,0.454183547689
153,66,3,1.0527386144
154,66,3,1.0527386144
155,66,3,1.0527386144
156,67,2,3.50641968352
157,67,2,3.50641968352
158,68,2,0.652657880076
159,68,2,0.652657880076
160,69,1,0.515555935838
161,70,3,1.0527386144
162,70,3,1.0527386144
163,70,3,1.0527386144
164,71,3,5.6558627603
165,71,3,5.6558627603
166,71,3,5.6558627603
167,72,3,0.454183547689
168,72,3,0.454183547689
169,72,3,0.454183547689
170,73,3,0.57870411558
171,73,3,0.57870411558
172,73,3,0.57870411558
173,74,1,0.937863801083
174,75,2,1.5127764003
175,75,2,1.5127764003
176,76,2,0.831592872941
177,76,2,0.831592872941
178,77,2,0.831592872941
179,77,2,0.831592872941
180,78,3,1.0527386144
181,78,3,1.0527386144
