PNR,HHNR,APER,w
0,0,2,1.48407884412
1,0,2,1.48407884412
2,1,3,0.558139110287
3,1,3,0.558139110287
4,1,3,0.558139110287
5,2,2,0.283339219309
6,2,2,0.283339219309
7,3,3,2.26858232138
8,3,3,2.26858232138
9,3,3,2.26858232138
10,4,1,1.7547633832
11,5,3,1.20641429106
12,5,3,1.20641429106
13,5,3,1.20641429106
14,6,3,0.558139110287
15,6,3,0.558139110287
16,6,3,0.558139110287
17,7,2,0.494054442276
18,7,2,0.494054442276
19,8,3,2.26858232138
20,8,3,2.26858232138
21,8,3,2.26858232138
22,9,2,0.494054442276
23,9,2,0.494054442276
24,10,2,1.48407884412
25,10,2,1.48407884412
26,11,2,1.48407884412
27,11,2,1.48407884412
28,12,1,0.250806649078
29,13,2,3.45664139207
30,13,2,3.45664139207
31,14,1,1.7547633832
32,15,2,0.494054442276
33,15,2,0.494054442276
34,16,1,0.250806649078
35,17,1,3.05975518224
36,18,2,0.283339219309
37,18,2,0.283339219309
38,19,3,1.20641429106
39,19,3,1.20641429106
40,19,3,1.20641429106
41,20,2,0.283339219309
42,20,2,0.283339219309
43,21,3,1.20641429106
44,21,3,1.20641429106
45,21,3,1.20641429106
46,22,2,1.48407884412
47,22,2,1.48407884412
48,23,3,1.30102735423
49,23,3,1.30102735423
50,23,3,1.30102735423
51,24,3,0.691876145908
52,24,3,0.691876145908
53,24,3,0.691876145908
54,25,2,0.283339219309
55,25,2,0.283339219309
56,26,3,0.558139110287
57,26,3,0.558139110287
58,26,3,0.558139110287
59,27,3,0.691876145908
60,27,3,0.691876145908
61,27,3,0.691876145908
62,28,3,0.320091646268
63,28,3,0.320091646268
64,28,3,0.320091646268
65,29,1,0.43732787657
66,30,3,1.20641429106
67,30,3,1.20641429106
68,30,3,1.20641429106
69,31,3,1.20641429106
70,31,3,1.20641429106
71,31,3,1.20641429106
72,32,3,1.20641429106
73,32,3,1.20641429106
74,32,3,1.20641429106
75,33,3,1.30102735423
76,33,3,1.30102735423
77,33,3,1.30102735423
78,34,3,1.20641429106
79,34,3,1.20641429106
80,34,3,1.20641429106
81,35,2,1.48407884412
82,35,2,1.48407884412
83,36,1,0.250806649078
84,37,3,1.20641429106
85,37,3,1.20641429106
86,37,3,1.20641429106
87,38,3,1.30102735423
88,38,3,1.30102735423
89,38,3,1.30102735423
90,39,2,1.48407884412
91,39,2,1.48407884412
92,40,2,0.494054442276
93,40,2,0.494054442276
94,41,2,3.45664139207
95,41,2,3.45664139207
96,42,3,2.26858232138
97,42,3,2.26858232138
98,42,3,2.26858232138
99,43,2,0.494054442276
100,43,2,0.494054442276
101,44,1,0.250806649078
102,45,3,0.320091646268
103,45,3,0.320091646268
104,45,3,0.320091646268
105,46,2,0.851116203206
106,46,2,0.851116203206
107,47,3,0.691876145908
108,47,3,0.691876145908
109,47,3,0.691876145908
110,48,3,0.558139110287
111,48,3,0.558139110287
112,48,3,0.558139110287
113,49,1,0.250806649078
114,50,1,0.43732787657
115,51,3,0.691876145908
116,51,3,0.691876145908
117,51,3,0.691876145908
118,52,2,0.283339219309
119,52,2,0.283339219309
120,53,3,0.558139110287
121,53,3,0.558139110287
122,53,3,0.558139110287
123,54,3,0.691876145908
124,54,3,0.691876145908
125,54,3,0.691876145908
126,55,1,3.05975518224
127,56,2,1.48407884412
128,56,2,1.48407884412
129,57,2,0.494054442276
130,57,2,0.494054442276
131,58,2,1.48407884412
132,58,2,1.48407884412
133,59,3,0.558139110287
134,59,3,0.558139110287
135,59,3,0.558139110287
136,60,3,1.20641429106
137,60,3,1.20641429106
138,60,3,1.20641429106
139,61,3,2.26858232138
140,61,3,2.26858232138
141,61,3,2.26858232138
142,62,3,0.320091646268
143,62,3,0.320091646268
144,62,3,0.320091646268
145,63,2,1.48407884412
146,63,2,1.48407884412
147,64,3,1.20641429106
148,64,3,1.20641429106
149,64,3,1.20641429106
150,65,3,0.558139110287
151,65,3,0.558139110287
152,65,3,0.558139110287
153,66,3,1.20641429106
154,66,3,1.20641429106
155,66,3,1.20641429106
156,67,2,3.45664139207
157,67,2,3.45664139207
158,68,2,0.494054442276
159,68,2,0.494054442276
160,69,1,0.250806649078
161,70,3,1.20641429106
162,70,3,1.20641429106
163,70,3,1.20641429106
164,71,3,3.90500840811
165,71,3,3.90500840811
166,71,3,3.90500840811
167,72,3,0.558139110287
168,72,3,0.558139110287
169,72,3,0.558139110287
170,73,3,0.691876145908
171,73,3,0.691876145908
172,73,3,0.691876145908
173,74,1,0.43732787657
174,75,2,1.48407884412
175,75,2,1.48407884412
176,76,2,0.851116203206
177,76,2,0.851116203206
178,77,2,0.851116203206
179,77,2,0.851116203206
180,78,3,1.20641429106
181,78,3,1.20641429106
182,78,3,1.20641429106
183,79,2,0.851116203206
184,79,2,0.851116203206
185,80,2,3.45664139207
186,80,2,3.45664139207
187,81,3,0.558139110287
188,81,3,0.558139110287
189,81,3,0.558139110287
190,82,3,1.20641429106
191,82,3,1.20641429106
192,82,3,1.20641429106
193,83,2,0.283339219309
194,83,2,0.283339219309
195,84,2,0.494054442276
196,84,2,0.494054442276
197,85,1,3.05975518224
198,86,2,0.283339219309
199,86,2,0.283339219309
200,87,2,1.48407884412
201,87,2,1.48407884412
202,88,3,0.320091646268
203,88,3,0.320091646268
204,88,3,0.320091646268
205,89,1,3.05975518224
206,90,3,1.20641429106
